filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
184__[voi][dru][pop_roc]2303__3.wav,0.386704177,0.128613994,2249.528018,2762.297425,4551.071579,0.049557719,-166.447998,158.7923737,-43.18798828,34.14689255,-12.1831007,17.36953354,4.965345383,25.08431435,3.277820826,13.19446182,0.20931311,-0.582344532,1.059082985,-2.418123484,1.635191441,7.04693985,7.682434559,7.803284645,9.067214012,-7.678632736,voice
135__[voi][dru][pop_roc]2292__2.wav,0.551007688,0.262194484,2921.263521,3261.045865,6121.99773,0.065789771,-51.43340302,149.6483612,-45.1931572,57.66566849,-4.149300575,29.25660706,-18.35528755,14.54768753,-10.47896576,11.61965656,-2.23585844,8.834659576,-6.941681385,0.433173805,0.036392741,-4.757427692,3.425178289,-2.1599648,6.425997734,-6.133025169,voice
[voi][pop_roc]2509__1.wav,0.351700306,0.138911128,2266.202417,2925.949685,4508.171453,0.045136794,-200.5174713,151.2554626,-27.14006805,50.1784935,9.843229294,31.01475525,-18.94700813,11.94993591,-8.257486343,-0.524634063,1.470650196,-1.403339386,-3.103235722,-5.522148132,-5.534698009,-8.634575844,-2.433258057,-9.677189827,-5.450479031,-16.29921341,voice
027__[voi][dru][cou_fol]2378__3.wav,0.351761878,0.242229715,2086.641953,2809.353034,4229.237489,0.039976849,-112.8383942,170.4943237,-22.30431938,46.72430801,-19.93804169,26.93950844,-10.08414078,4.919558525,-8.940843582,6.084846973,-7.620540619,-2.746427059,0.278238297,2.759366274,2.703706503,-3.56056428,-0.501288474,-5.366080761,0.655008078,-4.803230286,voice
197__[voi][dru][cou_fol]2425__1.wav,0.290530682,0.217262208,1716.59368,2382.842232,3274.543391,0.025266198,-162.1506653,180.9924316,-25.78482056,39.34337997,-7.094188213,29.24650764,-8.938144684,-6.229281425,-1.983402014,-9.084848404,-1.331891894,-1.512183189,-5.819376945,-7.827308655,-2.779981613,0.987141132,-4.674693584,-0.776561558,2.767262459,-0.051982041,voice
011__[voi][dru][pop_roc]2294__2.wav,0.498459041,0.231588379,2938.893359,2898.504431,5622.078231,0.077133355,-67.20428467,144.0123901,-70.45597839,70.24176788,-1.268868685,29.96395683,-21.38722801,17.107584,-2.015295506,13.12490463,3.862086535,4.892484665,4.869483471,0.116648287,9.497624397,-12.80391788,-0.370195419,-4.602041245,1.722130299,-7.191371918,voice
181__[voi][nod][cou_fol]2434__1.wav,0.319502205,0.194196224,2057.27667,2397.931709,4293.171981,0.05155609,-147.3080902,167.0657349,-56.35147858,58.58633041,-2.27305007,20.41146851,-13.24329376,-8.968029976,6.881526947,-4.065124989,-19.77334595,-25.11166,0.107400663,-7.484676838,-10.3022871,-6.160895348,-5.579106331,-8.882582664,-1.463155627,-4.393166542,voice
[voi][pop_roc]2495__2.wav,0.394014716,0.034410235,2185.132749,3145.093739,5087.073744,0.033938375,-301.6945801,155.9657898,-10.72457314,46.9764328,-16.07031822,25.44886589,-15.74439716,10.81401157,-11.63357067,-12.5511055,-0.699462533,-0.995824039,-0.830281496,-3.832812786,-12.42318916,-8.268062592,-5.352694988,-4.386638641,0.772504389,-7.96581459,voice
[voi][pop_roc]2517__1.wav,0.354610592,0.050333813,2945.230648,3346.882073,6032.622466,0.064336239,-251.5636139,139.946106,-31.4682827,22.25776291,-17.48424339,22.69517326,-20.13550949,13.31375599,-5.597896576,-5.983317852,-10.40596676,0.317080349,-12.21762848,-11.79200363,-0.637629628,-6.41603899,-4.554383755,-4.317844391,3.782443762,-4.757386208,voice
127__[voi][dru][pop_roc]2477__1.wav,0.330215663,0.117977068,2571.980967,3812.146823,6052.908573,0.044763514,-193.8613281,156.5535889,19.67975616,39.99059296,-33.57359314,33.00775528,-17.97890854,18.21979904,-21.80879402,9.539700508,-13.62952042,11.0408535,-4.351307392,7.294800758,-3.244657993,-5.4096241,0.087736152,-4.846090317,0.017374754,-8.300562859,voice
